Location,Order Id,Order #,Checks,Opened,# of Guests,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
3401 Harrisburg Boulevard Suite A,800000003816720091,1,1,8/3/23 11:13 AM,1,,Dining Room,,,,0.00,100.00,10.24,10.00,0.00,120.24,false,8/3/23 11:16 AM,8/3/23 11:16 AM,00:02:51,In Store
3401 Harrisburg Boulevard Suite A,800000003817149313,2,2,8/3/23 11:16 AM,1,,Dining Room,,,,0.00,21.00,2.17,4.20,0.00,27.37,false,8/3/23 12:04 PM,8/3/23 12:04 PM,00:47:40,In Store
3401 Harrisburg Boulevard Suite A,800000003818011042,3,3,8/3/23 11:53 AM,1,,Dining Room,,,,0.00,10.00,1.02,2.20,0.00,13.22,false,8/3/23 11:59 AM,8/3/23 11:59 AM,00:05:51,In Store
3401 Harrisburg Boulevard Suite A,800000003818154671,4,4,8/3/23 12:02 PM,1,,Dining Room,,,,0.00,6.00,0.62,0.90,0.00,7.52,false,8/3/23 12:02 PM,8/3/23 12:02 PM,00:00:36,In Store
3401 Harrisburg Boulevard Suite A,800000003818168542,5,5,8/3/23 12:02 PM,1,,Dining Room,,,,0.00,6.00,0.62,0.90,0.00,7.52,false,8/3/23 12:03 PM,8/3/23 12:03 PM,00:00:20,In Store
3401 Harrisburg Boulevard Suite A,800000003818183385,6,6,8/3/23 12:03 PM,1,,Dining Room,,,,0.00,5.00,0.51,1.10,0.00,6.61,false,8/3/23 12:03 PM,8/3/23 12:03 PM,00:00:35,In Store
3401 Harrisburg Boulevard Suite A,800000003818322640,7,7,8/3/23 12:07 PM,1,,Dining Room,,,,0.00,7.00,0.71,0.00,0.00,7.71,false,8/3/23 12:08 PM,8/3/23 12:08 PM,00:00:35,In Store
3401 Harrisburg Boulevard Suite A,800000003819498067,8,8,8/3/23 12:28 PM,1,,Dining Room,,,,0.00,5.00,0.51,0.00,0.00,5.51,false,8/3/23 12:45 PM,8/3/23 12:45 PM,00:17:15,In Store
3401 Harrisburg Boulevard Suite A,800000003819537939,9,9,8/3/23 12:46 PM,1,,Dining Room,,,,0.00,11.00,1.13,2.42,0.00,14.55,false,8/3/23 12:47 PM,8/3/23 12:47 PM,00:00:40,In Store
3401 Harrisburg Boulevard Suite A,800000003819636041,10,10,8/3/23 12:50 PM,1,,Dining Room,,,,0.00,10.00,1.02,2.00,0.00,13.02,false,8/3/23 12:50 PM,8/3/23 12:50 PM,00:00:41,In Store
3401 Harrisburg Boulevard Suite A,800000003821015656,11,11,8/3/23 1:02 PM,1,,Dining Room,,,,0.00,11.00,1.13,0.00,0.00,12.13,false,8/3/23 1:41 PM,8/3/23 1:41 PM,00:39:17,In Store
3401 Harrisburg Boulevard Suite A,800000003821056870,12,12,8/3/23 1:41 PM,1,,Dining Room,,,,0.00,8.00,0.82,0.00,0.00,8.82,false,8/3/23 1:43 PM,8/3/23 1:43 PM,00:01:32,In Store
3401 Harrisburg Boulevard Suite A,800000003821098502,13,13,8/3/23 1:43 PM,1,,Dining Room,,,,0.00,7.00,0.71,1.05,0.00,8.76,false,8/3/23 1:44 PM,8/3/23 1:44 PM,00:01:23,In Store
3401 Harrisburg Boulevard Suite A,800000003821294941,14,14,8/3/23 1:45 PM,1,,Dining Room,,,,0.00,9.00,0.93,1.98,0.00,11.91,false,8/3/23 1:53 PM,8/3/23 1:53 PM,00:07:40,In Store
3401 Harrisburg Boulevard Suite A,800000003822930877,15,15,8/3/23 1:57 PM,1,,Dining Room,,,,0.00,30.00,3.07,6.60,0.00,39.67,false,8/3/23 2:57 PM,8/3/23 2:57 PM,01:00:07,In Store
3401 Harrisburg Boulevard Suite A,800000003823796536,16,16,8/3/23 3:20 PM,1,,Dining Room,,,,0.00,14.00,1.44,3.08,0.00,18.52,false,8/3/23 3:45 PM,8/3/23 3:45 PM,00:24:56,In Store
3401 Harrisburg Boulevard Suite A,800000003824519933,17,17,8/3/23 3:45 PM,1,,Dining Room,,,,2.75,8.25,0.84,1.65,0.00,10.74,false,8/3/23 4:00 PM,8/3/23 4:00 PM,00:15:47,In Store
3401 Harrisburg Boulevard Suite A,800000003825126647,18,18,8/3/23 4:00 PM,1,,Dining Room,,,,0.00,5.00,0.51,0.75,0.00,6.26,false,8/3/23 4:21 PM,8/3/23 4:21 PM,00:20:36,In Store
3401 Harrisburg Boulevard Suite A,800000003825282172,20,20,8/3/23 4:21 PM,1,,Dining Room,,,,0.00,0.00,0.00,0.00,0.00,0.00,true,8/3/23 4:25 PM,8/3/23 4:25 PM,,In Store
3401 Harrisburg Boulevard Suite A,800000003825445654,22,22,8/3/23 4:30 PM,1,,Dining Room,,,,7.50,22.50,2.31,10.00,0.00,34.81,false,8/3/23 5:26 PM,8/3/23 5:26 PM,00:56:34,In Store
3401 Harrisburg Boulevard Suite A,800000003827158870,25,25,8/3/23 5:07 PM,1,,Dining Room,,,,0.00,6.00,0.62,1.20,0.00,7.82,false,8/3/23 5:18 PM,8/3/23 5:18 PM,00:10:58,In Store
3401 Harrisburg Boulevard Suite A,800000003828776162,26,26,8/3/23 5:48 PM,1,,Dining Room,,,,0.00,20.00,2.06,4.00,0.00,26.06,false,8/3/23 5:50 PM,8/3/23 5:50 PM,00:01:36,In Store
3401 Harrisburg Boulevard Suite A,800000003829054190,27,27,8/3/23 5:53 PM,1,,Dining Room,,,,2.00,6.00,0.62,1.00,0.00,7.62,false,8/3/23 7:18 PM,8/3/23 7:18 PM,01:24:12,In Store
