Location,Order Id,Order #,Checks,Opened,# of Guests,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
3401 Harrisburg Boulevard Suite A,800000004596526171,2,2,9/1/23 11:36 AM,1,,Dining Room,,,,0.00,6.00,0.62,1.20,0.00,7.82,false,9/1/23 11:43 AM,9/1/23 11:43 AM,00:07:45,In Store
3401 Harrisburg Boulevard Suite A,800000004596919249,3,3,9/1/23 11:54 AM,1,,Dining Room,,,,0.00,22.00,2.26,3.30,0.00,27.56,false,9/1/23 12:00 PM,9/1/23 12:00 PM,00:05:59,In Store
3401 Harrisburg Boulevard Suite A,800000004597401140,4,4,9/1/23 12:06 PM,1,,Dining Room,,,,0.00,40.00,4.10,5.00,0.00,49.10,false,9/1/23 12:13 PM,9/1/23 12:13 PM,00:07:00,In Store
3401 Harrisburg Boulevard Suite A,800000004597961256,5,5,9/1/23 12:19 PM,1,,Dining Room,,,,0.00,34.00,3.48,6.80,0.00,44.28,false,9/1/23 12:26 PM,9/1/23 12:26 PM,00:06:55,In Store
3401 Harrisburg Boulevard Suite A,800000004598119382,6,6,9/1/23 12:26 PM,1,,Dining Room,,,,0.00,27.00,2.76,0.00,0.00,29.76,false,9/1/23 12:28 PM,9/1/23 12:28 PM,00:01:38,In Store
3401 Harrisburg Boulevard Suite A,800000004598197639,7,7,9/1/23 12:28 PM,1,,Dining Room,,,,0.00,29.00,2.98,5.80,0.00,37.78,false,9/1/23 12:30 PM,9/1/23 12:30 PM,00:01:45,In Store
3401 Harrisburg Boulevard Suite A,800000004598868478,8,8,9/1/23 12:48 PM,1,,Dining Room,,,,0.00,5.00,0.51,1.10,0.00,6.61,false,9/1/23 12:49 PM,9/1/23 12:49 PM,00:01:40,In Store
3401 Harrisburg Boulevard Suite A,800000004598928237,9,9,9/1/23 12:49 PM,1,,Dining Room,,,,0.00,2.00,0.20,2.00,0.00,4.20,false,9/1/23 12:51 PM,9/1/23 12:51 PM,00:02:02,In Store
3401 Harrisburg Boulevard Suite A,800000004599008805,10,10,9/1/23 12:52 PM,1,,Dining Room,,,,0.00,12.00,1.24,1.80,0.00,15.04,false,9/1/23 12:58 PM,9/1/23 12:58 PM,00:05:47,In Store
3401 Harrisburg Boulevard Suite A,800000004599544669,11,11,9/1/23 1:08 PM,1,,Dining Room,,,,0.00,8.00,0.82,1.60,0.00,10.42,false,9/1/23 1:08 PM,9/1/23 1:08 PM,00:00:39,In Store
3401 Harrisburg Boulevard Suite A,800000004599776098,12,12,9/1/23 1:14 PM,1,,Dining Room,,,,0.00,12.00,1.23,1.80,0.00,15.03,false,9/1/23 1:20 PM,9/1/23 1:20 PM,00:06:30,In Store
3401 Harrisburg Boulevard Suite A,800000004600306063,13,13,9/1/23 1:20 PM,1,,Dining Room,,,,0.00,48.00,4.72,10.56,0.00,63.28,false,9/1/23 2:50 PM,9/1/23 2:50 PM,01:29:29,In Store
3401 Harrisburg Boulevard Suite A,800000004600670847,15,15,9/1/23 1:40 PM,1,,Dining Room,,,,1.20,4.80,0.50,1.32,0.00,6.62,false,9/1/23 1:41 PM,9/1/23 1:41 PM,00:01:28,In Store
3401 Harrisburg Boulevard Suite A,800000004600989007,17,17,9/1/23 1:50 PM,1,,Dining Room,,,,0.00,28.00,2.88,5.60,0.00,36.48,false,9/1/23 1:56 PM,9/1/23 1:56 PM,00:06:34,In Store
3401 Harrisburg Boulevard Suite A,800000004601574947,19,19,9/1/23 2:09 PM,1,,Dining Room,,,,0.00,12.00,1.24,0.00,0.00,13.24,false,9/1/23 2:10 PM,9/1/23 2:10 PM,00:00:30,In Store
3401 Harrisburg Boulevard Suite A,800000004601635882,20,20,9/1/23 2:11 PM,1,,Dining Room,,,,0.00,29.00,2.99,0.00,0.00,31.99,false,9/1/23 2:38 PM,9/1/23 2:38 PM,00:27:11,In Store
3401 Harrisburg Boulevard Suite A,800000004602487390,21,21,9/1/23 2:39 PM,1,,Dining Room,,,,0.00,5.00,0.51,1.00,0.00,6.51,false,9/1/23 2:45 PM,9/1/23 2:45 PM,00:05:42,In Store
3401 Harrisburg Boulevard Suite A,800000004603183917,22,22,9/1/23 2:56 PM,1,,Dining Room,,,,0.00,24.00,2.46,3.60,0.00,30.06,false,9/1/23 3:38 PM,9/1/23 3:38 PM,00:42:05,In Store
3401 Harrisburg Boulevard Suite A,800000004603191245,23,23,9/1/23 3:03 PM,1,,Dining Room,,,,0.00,24.00,2.46,3.60,0.00,30.06,false,9/1/23 3:44 PM,9/1/23 3:44 PM,00:41:16,In Store
3401 Harrisburg Boulevard Suite A,800000004603229307,25,25,9/1/23 3:03 PM,1,,Dining Room,,,,0.00,29.00,2.77,4.35,0.00,36.12,false,9/1/23 3:05 PM,9/1/23 3:05 PM,00:01:37,In Store
3401 Harrisburg Boulevard Suite A,800000004603302898,26,26,9/1/23 3:05 PM,1,,Dining Room,,,,0.00,24.00,2.46,4.00,0.00,30.46,false,9/1/23 3:55 PM,9/1/23 3:55 PM,00:49:36,In Store
3401 Harrisburg Boulevard Suite A,800000004603839906,27,27,9/1/23 3:23 PM,1,,Dining Room,,,,0.00,36.00,3.48,5.40,0.00,44.88,false,9/1/23 3:24 PM,9/1/23 3:24 PM,00:01:26,In Store
3401 Harrisburg Boulevard Suite A,800000004604130202,28,28,9/1/23 3:32 PM,1,,Dining Room,,,,0.00,15.00,1.33,2.00,0.00,18.33,false,9/1/23 3:38 PM,9/1/23 3:38 PM,00:05:39,In Store
3401 Harrisburg Boulevard Suite A,800000004604336765,29,29,9/1/23 3:39 PM,1,,Dining Room,,,,0.00,11.00,1.13,2.20,0.00,14.33,false,9/1/23 3:40 PM,9/1/23 3:40 PM,00:00:45,In Store
3401 Harrisburg Boulevard Suite A,800000004605625997,30,30,9/1/23 4:14 PM,1,,Dining Room,,,,0.00,12.00,1.24,2.00,0.00,15.24,false,9/1/23 4:21 PM,9/1/23 4:21 PM,00:07:19,In Store
3401 Harrisburg Boulevard Suite A,800000004605813430,31,31,9/1/23 4:18 PM,1,,Dining Room,,,,0.00,6.00,0.62,0.90,0.00,7.52,false,9/1/23 4:19 PM,9/1/23 4:19 PM,00:00:33,In Store
3401 Harrisburg Boulevard Suite A,800000004606370124,32,32,9/1/23 4:31 PM,1,,Dining Room,,,,19.50,58.50,5.98,15.60,0.00,80.08,false,9/1/23 5:57 PM,9/1/23 5:57 PM,01:26:06,In Store
3401 Harrisburg Boulevard Suite A,800000004606514472,33,33,9/1/23 4:34 PM,1,,Dining Room,,,,5.00,15.00,1.53,4.00,0.00,20.53,false,9/1/23 6:04 PM,9/1/23 6:04 PM,01:29:25,In Store
